Datum,Unterrichtsverlauf,Zusatzmaterial,Hausaufgaben,Bemerkung,Lernziele,Klasse
1786924800,"<h4>1. Lektion, 🕣 11:20 bis 12:05</h4>
<ul>
<li>[fa-smile-o] Begrüssung</li>
<li>[fa-user] Vorstellungsrunde</li>
<li><a href=""https://moodle.strickhof.ch/course/view.php?id=488"">[fa-link] Moodle-Einführung </a></li>
<li>Facheinführung «Naturwissenschaften I» (Moodlekurs <a href=""https://moodle.strickhof.ch/course/view.php?id=209""> BMS-Naturwissenschaften I </a>)</li>
</ul>
<h4>2. Lektion, 🕣 12:10 bis 12:55</h4>
<ul>
<li>Moodlekurse, Fachvorgaben &amp; Unterrichtsplanung</li>
<li>Einführung «Sommer, Sonne, Sonnencreme?»</li>
</ul>","https://www.youtube.com/watch?v=KRTGpuLfZHY Beitrag vom Kassensturz","<h5>📝 Arbeitsaufträge</h5>
<ul>
<li>Moodle-Einführungskurs absolvieren</li>
</ul>","<h4>Biologieprüfung I:</h4>
<p>🗓 Mo. 19. Oktober 2026 von 11:20 bis 12:05 Uhr</p>
<dl>
<dt>Grundlagen</dt>
<dd>Chemische und biologische Grundlagen</dd>
<dt>Cytologie</dt>
<dd>Aufbau und Funktion von Zellen und ihren Bestandteilen</dd>
</dl>
<h4>Stützkurs</h4>
<p>📍 Prüfungsvorbereitung</p>
<p>🗓 Donnerstag, 01. Oktober 2026<br>🕠 von 17:20 bis 18:05 Uhr<br><a href=""https://teams.microsoft.com/meet/39022291276706?p=ODO8iGK7UziaI6mskN"">🔗 Link zu Teams</a> <br>🏫 Strickhof Lindau, Zimmer 603</p>
<p>🗫 Teilnahem ist hybrid möglich über den Link. Bitte melden Sie sich unter <a href=""https://moodle.strickhof.ch/mod/scheduler/view.php?id=48719"">«Anmeldung zum Stützkurs (SJ2526)»</a> an.</p>","<p>Sie sind in der Lage ...</p>
<ol>
<li>grob zu erklären, was Nanotechnologie ist und kennen zwei konkrete Anwendungen.</li>
<li>die metrische Unterteilung von Nanometer bis Kilometer kennen.</li>
</ol>",BM2-vz-2627
1786924800,"<h4>1. Lektion, 🕣 13:50 bis 14:35</h4>
<ul>
<li>[fa-smile-o] Begrüssung</li>
<li>[fa-user] Vorstellungsrunde</li>
<li><a href=""https://moodle.strickhof.ch/course/view.php?id=488"">[fa-link] Moodle-Einführung </a></li>
<li>Facheinführung «Naturwissenschaften I» (Moodlekurs <a href=""https://moodle.strickhof.ch/course/view.php?id=209""> BMS-Naturwissenschaften I </a>)</li>
</ul>
<h4>2. Lektion, 🕣 14:45 bis 15:30</h4>
<ul>
<li>Moodlekurse, Fachvorgaben &amp; Unterrichtsplanung</li>
<li>Einführung «Sommer, Sonne, Sonnencreme?»</li>
</ul>","https://www.youtube.com/watch?v=KRTGpuLfZHY Beitrag vom Kassensturz","<h5>📝 Arbeitsaufträge</h5>
<ul>
<li>Moodle-Einführungskurs absolvieren</li>
</ul>","<h4>Biologieprüfung I:</h4>
<p>🗓 Mo. 19. Oktober 2026 von 13:50 bis 14:35 Uhr</p>
<dl>
<dt>Grundlagen</dt>
<dd>Chemische und biologische Grundlagen</dd>
<dt>Cytologie</dt>
<dd>Aufbau und Funktion von Zellen und ihren Bestandteilen</dd>
</dl>
<h4>Stützkurs</h4>
<p>📍 Prüfungsvorbereitung</p>
<p>🗓 Dienstag, 29. September 2026<br>🕠 von 16:30 bis 17:15 Uhr<br><a href=""https://teams.microsoft.com/meet/39022291276706?p=ODO8iGK7UziaI6mskN"">🔗 Link zu Teams</a> <br>🏫 Strickhof Lindau, Zimmer 603</p>
<p>🗫 Teilnahem ist hybrid möglich über den Link. Bitte melden Sie sich unter <a href=""https://moodle.strickhof.ch/mod/scheduler/view.php?id=48719"">«Anmeldung zum Stützkurs (SJ2526)»</a> an.</p>","<p>Sie sind in der Lage ...</p>
<ol>
<li>grob zu erklären, was Nanotechnologie ist und kennen zwei konkrete Anwendungen.</li>
<li>die metrische Unterteilung von Nanometer bis Kilometer kennen.</li>
</ol>",BM2-tz-2628
1787529600,"<h4>1. Lektion, 🕣 11:20 bis 12:05</h4>
<ul>
<li>[fa-book] Eigenschaften des Lebendigen</li>
<li>[fa-flag] Definition von Biologie</li>
<li>[fa-sitemap] Ebenen der biologischen Organisation</li>
<li>[fa-book] chemische Grundlagen</li>
</ul>
<h4>2. Lektion, 🕣 12:10 bis 12:55</h4>
<ul>
<li>Eigenschaften von Wasser</li>
<li>Biomoleküle</li>
</ul>"," ","<ul>
<li>Aufgabe | Die Ebenen in der Biologie</li>
</ul>","<h4>Biologieprüfung I:</h4>
<p>🗓 Mo. 19. Oktober 2026 von 11:20 bis 12:05 Uhr</p>
<dl>
<dt>Grundlagen</dt>
<dd>Chemische und biologische Grundlagen</dd>
<dt>Cytologie</dt>
<dd>Aufbau und Funktion von Zellen und ihren Bestandteilen</dd>
</dl>
<h4>Stützkurs</h4>
<p>📍 Prüfungsvorbereitung</p>
<p>🗓 Donnerstag, 01. Oktober 2026<br>🕠 von 17:20 bis 18:05 Uhr<br><a href=""https://teams.microsoft.com/meet/353888362433281?p=meg5EvW21NZVSy7D5H"">🔗 Link zu Teams</a> <br>🏫 Strickhof Lindau, Zimmer 603</p>
<p>🗫 Teilnahem ist hybrid möglich über den Link. Bitte melden Sie sich unter <a href=""https://moodle.strickhof.ch/mod/scheduler/view.php?id=72344"">«Anmeldung zum Stützkurs (SJ2627)»</a> an.</p>","<p>Sie sind in der Lage ...</p>
<ol>
<li>die Eigenschaften des Lebendigen zu erläutern und diese anhand von Beispielen zu veranschaulichen.</li>
<li>die hierarchische Organisation der Biosysteme zu benennen.</li>
<li>grundlegende Fachbegriffe der Systematik zu verwenden.</li>
<li>einen Organismus den drei Domänen zuzuordnen und – falls er zur Domäne der Eukarya gehört – eine weitere Einteilung in die vier Reiche vorzunehmen.</li>
<li>die hierarchische Klassifikation (Domäne, Reich, Stamm, Klasse, Ordnung usw.) wiederzugeben.</li>
<li>die grobe Funktion der genetischen Information für die Biologie und insbesondere für die Systematik zu erklären.</li>
<li>anzugeben, welche Elemente häufig in Biomolekülen vorkommen (Makronährelemente) und welche zu den Spurenelementen (Mikronährelemente) zählen.</li>
<li>die chemischen und physikalischen Eigenschaften von Wasser zu beschreiben.</li>
<li>die vier Hauptgruppen der Biomoleküle (Zucker, Proteine, Nukleinsäuren und Lipide) zu benennen, deren Funktionen zu erläutern und jeweils ein Beispiel zu nennen (z. B. Zucker = Glucose, Protein = Hämoglobin).</li>
<li>die Vorgänge der Genexpression (Gen → mRNA → Ribosom → Protein) zu beschreiben.</li>
</ol>",BM2-vz-2627
1787788800,"<h4>1. Lektion, 🕣 13:50 bis 14:35</h4>
<ul>
<li>[fa-smile-o] Begrüssung</li>
<li>[fa-user] Vorstellungsrunde</li>
<li><a href=""https://moodle.strickhof.ch/course/view.php?id=488"">[fa-link] Moodle-Einführung </a></li>
<li>Facheinführung «Naturwissenschaften I» (Moodlekurs <a href=""https://moodle.strickhof.ch/course/view.php?id=209""> BMS-Naturwissenschaften I </a>)</li>
</ul>
<h4>2. Lektion, 🕣 14:45 bis 15:30</h4>
<ul>
<li>Moodlekurse, Fachvorgaben &amp; Unterrichtsplanung</li>
<li>Einführung «Sommer, Sonne, Sonnencreme?»</li>
</ul>","https://www.youtube.com/watch?v=KRTGpuLfZHY Beitrag vom Kassensturz","<h5>📝 Arbeitsaufträge</h5>
<ul>
<li><a href=""https://moodle.strickhof.ch/course/view.php?id=488"">[fa-link] Moodle-Einführung </a> absolvieren</li>
</ul>","<h4>Biologieprüfung I:</h4>
<p>🗓 Do. 22. Oktober 2026 von 13:50 bis 14:35 Uhr</p>
<dl>
<dt>Grundlagen</dt>
<dd>Chemische und biologische Grundlagen</dd>
<dt>Cytologie</dt>
<dd>Aufbau und Funktion von Zellen und ihren Bestandteilen</dd>
</dl>
<h4>Stützkurs</h4>
<p>📍 Prüfungsvorbereitung</p>
<p>🗓 Donnerstag, 01. Oktober 2026<br>🕠 von 17:20 bis 18:05 Uhr<br><a href=""https://teams.microsoft.com/meet/353888362433281?p=meg5EvW21NZVSy7D5H"">🔗 Link zu Teams</a> <br>🏫 Strickhof Lindau, Zimmer 603</p>
<p>🗫 Teilnahem ist hybrid möglich über den Link. Bitte melden Sie sich unter <a href=""https://moodle.strickhof.ch/mod/scheduler/view.php?id=72344"">«Anmeldung zum Stützkurs (SJ2627)»</a> an.</p>","<p>Sie sind in der Lage ...</p>
<ol>
<li>grob zu erklären, was Nanotechnologie ist und kennen zwei konkrete Anwendungen.</li>
<li>die metrische Unterteilung von Nanometer bis Kilometer kennen.</li>
</ol>",BM1-2629
1787529600,"<h4>1. Lektion, 🕣 13:50 bis 14:35</h4>
<ul>
<li>[fa-book] Eigenschaften des Lebendigen</li>
<li>[fa-flag] Definition von Biologie</li>
<li>[fa-sitemap] Ebenen der biologischen Organisation</li>
<li>[fa-book] chemische Grundlagen</li>
</ul>
<h4>2. Lektion, 🕣 14:45 bis 15:30</h4>
<ul>
<li>Eigenschaften von Wasser</li>
<li>Biomoleküle</li>
</ul>"," ","<h5>📝 Arbeitsaufträge</h5>
<ul>
<li>Aufgabe | Die Ebenen in der Biologie</li>
</ul>","<h4>Biologieprüfung I:</h4>
<p>🗓 Mo. 19. Oktober 2026 von 13:50 bis 14:35 Uhr</p>
<dl>
<dt>Grundlagen</dt>
<dd>Chemische und biologische Grundlagen</dd>
<dt>Cytologie</dt>
<dd>Aufbau und Funktion von Zellen und ihren Bestandteilen</dd>
</dl>
<h4>Stützkurs</h4>
<p>📍 Prüfungsvorbereitung</p>
<p>🗓 Dienstag, 29. September 2026<br>🕠 von 16:30 bis 17:15 Uhr<br><a href=""https://teams.microsoft.com/meet/353888362433281?p=meg5EvW21NZVSy7D5H"">🔗 Link zu Teams</a> <br>🏫 Strickhof Lindau, Zimmer 302</p>
<p>🗫 Teilnahme ist hybrid möglich über den Link. Bitte melden Sie sich unter <a href=""https://moodle.strickhof.ch/mod/scheduler/view.php?id=72344"">«Anmeldung zum Stützkurs (SJ2627)»</a> an.</p>","<p>Sie sind in der Lage ...</p>
<ol>
<li>grob zu erklären, was Nanotechnologie ist, und zwei konkrete Anwendungen zu nennen.</li>
<li>die Eigenschaften des Lebendigen zu erläutern und diese anhand von Beispielen zu veranschaulichen.</li>
<li>die hierarchische Organisation der Biosysteme zu benennen.</li>
<li>grundlegende Fachbegriffe der Systematik zu verwenden.</li>
<li>einen Organismus den drei Domänen zuzuordnen und – falls er zur Domäne der Eukarya gehört – eine weitere Einteilung in die vier Reiche vorzunehmen.</li>
<li>die hierarchische Klassifikation (Domäne, Reich, Stamm, Klasse, Ordnung usw.) wiederzugeben.</li>
<li>die grobe Funktion der genetischen Information für die Biologie und insbesondere für die Systematik zu erklären.</li>
<li>anzugeben, welche Elemente häufig in Biomolekülen vorkommen (Makronährelemente) und welche zu den Spurenelementen (Mikronährelemente) zählen.</li>
<li>die chemischen und physikalischen Eigenschaften von Wasser zu beschreiben.</li>
</ol>",BM2-tz-2628
1788134400,"<h4>1. Lektion, 🕣 11:20 bis 12:05</h4>
<ul>
<li>[fa fa-lightbulb-o] «Doppelte Belastung für das Meeresleben» <a href=""https://usys.ethz.ch/news-veranstaltungen/news/archiv/2026/08/doppelte-belastung-fuer-das-meeresleben.html"">🔗 ETH Umweltsystemwissenschaften </a></li>
<li>[fa-book] Biomoleküle</li>
<li>[fa-pencil] Aufbau der DNA (⏲️ 10 Min.)</li>
</ul>
<h4>2. Lektion, 🕣 12:10 bis 12:55</h4>
<ul>
<li>[fa-home] Hausaufgaben: Totholz in Wälder</li>
<li>[fa-book] Systematik</li>
<li>Einheitlichkeit der Vielfalt</li>
</ul>","https://usys.ethz.ch/news-veranstaltungen/news/archiv/2026/08/doppelte-belastung-fuer-das-meeresleben.html Doppelte Belastung für das Meeresleben","<ul>
<li>Aufgabe | Die Ebenen in der Biologie</li>
<li>Aufgabe | Totholz in Wäldern</li>
</ul>","<h4>Biologieprüfung I:</h4>
<p>🗓 Mo. 19. Oktober 2026 von 11:20 bis 12:05 Uhr</p>
<dl>
<dt>Grundlagen</dt>
<dd>Chemische und biologische Grundlagen</dd>
<dt>Cytologie</dt>
<dd>Aufbau und Funktion von Zellen und ihren Bestandteilen</dd>
</dl>
<h4>Stützkurs</h4>
<p>📍 Prüfungsvorbereitung</p>
<p>🗓 Donnerstag, 01. Oktober 2026<br>🕠 von 17:20 bis 18:05 Uhr<br><a href=""https://teams.microsoft.com/meet/353888362433281?p=meg5EvW21NZVSy7D5H"">🔗 Link zu Teams</a> <br>🏫 Strickhof Lindau, Zimmer 603</p>
<p>🗫 Teilnahem ist hybrid möglich über den Link. Bitte melden Sie sich unter <a href=""https://moodle.strickhof.ch/mod/scheduler/view.php?id=72344"">«Anmeldung zum Stützkurs (SJ2627)»</a> an.</p>","<p>Sie sind in der Lage ...</p>
<ol>
<li>grundlegende Fachbegriffe der Systematik zu verwenden.</li>
<li>einen Organismus den drei Domänen zuzuordnen und – falls er zur Domäne der Eukarya gehört – eine weitere Einteilung in die vier Reiche vorzunehmen.</li>
<li>die hierarchische Klassifikation (Domäne, Reich, Stamm, Klasse, Ordnung usw.) wiederzugeben.</li>
<li>die grobe Funktion der genetischen Information für die Biologie und insbesondere für die Systematik zu erklären.</li>
</ol>
<h5>Chemische Grundlagen</h5>
<p>Sie sind in der Lage ...</p>
<ol>
<li>anzugeben, welche Elemente häufig in Biomolekülen vorkommen (Makronährelemente) und welche zu den Spurenelementen (Mikronährelemente) zählen.</li>
<li>die chemischen und physikalischen Eigenschaften von Wasser zu beschreiben.</li>
<li>die vier Hauptgruppen der Biomoleküle (Zucker, Proteine, Nukleinsäuren und Lipide) zu benennen, deren Funktionen zu erläutern und jeweils ein Beispiel zu nennen (z. B. Zucker = Glucose, Protein = Hämoglobin).</li>
<li>die Vorgänge der Genexpression (Gen → mRNA → Ribosom → Protein) zu beschreiben.</li>
</ol>",BM2-vz-2627
1788134400,"<h4>1. Lektion, 🕣 13:50 bis 14:35</h4>
<ul>
<li>[fa fa-lightbulb-o] «Doppelte Belastung für das Meeresleben» <a href=""https://usys.ethz.ch/news-veranstaltungen/news/archiv/2026/08/doppelte-belastung-fuer-das-meeresleben.html"">🔗 ETH Umweltsystemwissenschaften </a></li>
<li>[fa-book] Eigenschaften von Wasser (pH-Wert, Dichte, Löslichkeit)</li>
<li>[fa-book] Biomoleküle</li>
<li>[fa-pencil] Aufbau der DNA (⏲️ 10 Min.)</li>
</ul>
<h4>2. Lektion, 🕣 14:45 bis 15:30</h4>
<ul>
<li>[fa-home] Hausaufgaben: Totholz in Wälder</li>
<li>[fa-book] Systematik</li>
<li>Einheitlichkeit der Vielfalt</li>
</ul>
<h4>3. Lektion, 🕣 15:40 bis 16:25</h4>
<ul>
<li>[fa-book] Einstieg Cytologie</li>
<li>[fa-book] Mikroskopiertechniken</li>
<li>Zelltyp: Prokaryoten und Eukaryoten</li>
</ul>
<h4>4. Lektion, 🕣 16:30 bis 17:15</h4>
<ul>
<li>[fa-pencil] Theorieblatt über Zellbestandteile</li>
</ul>","https://usys.ethz.ch/news-veranstaltungen/news/archiv/2026/08/doppelte-belastung-fuer-das-meeresleben.html Doppelte Belastung für das Meeresleben","<ul>
<li>Aufgabe | Die Ebenen in der Biologie</li>
<li>Aufgabe | Totholz in Wäldern</li>
<li>AB: Bau und Funktion von Lipiden</li>
</ul>","<h4>Biologieprüfung I:</h4>
<p>🗓 Mo. 19. Oktober 2026 von 13:50 bis 14:35 Uhr</p>
<dl>
<dt>Grundlagen</dt>
<dd>Chemische und biologische Grundlagen</dd>
<dt>Cytologie</dt>
<dd>Aufbau und Funktion von Zellen und ihren Bestandteilen</dd>
</dl>
<h4>Stützkurs</h4>
<p>📍 Prüfungsvorbereitung</p>
<p>🗓 Montag, 28. September 2026<br>🕠 von 17:20 bis 18:05 Uhr<br><a href=""https://teams.microsoft.com/meet/353888362433281?p=meg5EvW21NZVSy7D5H"">🔗 Link zu Teams</a> <br>🏫 Strickhof Lindau, Zimmer 302</p>
<p>🗫 Teilnahme ist hybrid möglich über den Link. Bitte melden Sie sich unter <a href=""https://moodle.strickhof.ch/mod/scheduler/view.php?id=72344"">«Anmeldung zum Stützkurs (SJ2627)»</a> an.</p>","<p>Sie sind in der Lage ...</p>
<ol>
<li>grundlegende Fachbegriffe der Systematik zu verwenden.</li>
<li>einen Organismus den drei Domänen zuzuordnen und – falls er zur Domäne der Eukarya gehört – eine weitere Einteilung in die vier Reiche vorzunehmen.</li>
<li>die hierarchische Klassifikation (Domäne, Reich, Stamm, Klasse, Ordnung usw.) wiederzugeben.</li>
<li>die grobe Funktion der genetischen Information für die Biologie und insbesondere für die Systematik zu erklären.</li>
</ol>
<h5>Chemische Grundlagen</h5>
<p>Sie sind in der Lage ...</p>
<ol>
<li>anzugeben, welche Elemente häufig in Biomolekülen vorkommen (Makronährelemente) und welche zu den Spurenelementen (Mikronährelemente) zählen.</li>
<li>die chemischen und physikalischen Eigenschaften von Wasser zu beschreiben.</li>
<li>die vier Hauptgruppen der Biomoleküle (Zucker, Proteine, Nukleinsäuren und Lipide) zu benennen, deren Funktionen zu erläutern und jeweils ein Beispiel zu nennen (z. B. Zucker = Glucose, Protein = Hämoglobin).</li>
<li>die Vorgänge der Genexpression (Gen → mRNA → Ribosom → Protein) zu beschreiben.</li>
</ol>
<h5>Cytologie</h5>
<div>Sie sind in der Lage...
<ul>
<li>mithilfe spezifischer Kriterien prokaryontische und eukaryontische Zellen zu unterscheiden und Gemeinsamkeiten zu benennen.</li>
<li>den Bau von Tier- und Pflanzenzellen
<ul>
<li>mit sämtlichen Organellen schematisch zu skizzieren.</li>
<li>anhand von Zellbestandteilen Unterschiede und Gemeinsamkeiten festzumachen.</li>
</ul>
</li>
<li>die Strukturen und die Komponenten des Endomembransystems zu beschreiben.</li>
<li>die Funktion aller Zellbestandteile zu erklären, insbesondere die von Mitochondrien und Chloroplasten (genauen strukturellen Aufbau, Funktion &amp; Eigenschaften).</li>
</ul>
</div>",BM2-tz-2628
1788393600,"<!--<h1>BM1-2620 2026-09-03</h1>-->
<h4>1. Lektion, 🕣 13:50 bis 14:35</h4>
<ul>
<li>[fa-book] Eigenschaften des Lebendigen</li>
<li>[fa-flag] Definition von Biologie</li>
<li>[fa-sitemap] Ebenen der biologischen Organisation</li>
<li>[fa-book] chemische Grundlagen</li>
</ul>
<h4>2. Lektion, 🕣 14:45 bis 15:30</h4>
<ul>
<li>Eigenschaften von Wasser</li>
<li>Biomoleküle</li>
</ul>"," ","<h5>📝 Arbeitsaufträge</h5>
<ul>
<li>Aufgabe | Die Ebenen in der Biologie</li>
</ul>","<h4>Biologieprüfung I</h4>
<p>🗓 Donnerstag, 22. Oktober 2026<br>🕣 13:50 bis 14:35 Uhr</p>
<dl>
<dt>Grundlagen</dt>
<dd>Chemische und biologische Grundlagen</dd>
<dt>Cytologie</dt>
<dd>Aufbau und Funktion von Zellen und ihren Bestandteilen</dd>
</dl>
<h4>Stützkurs</h4>
<h5>📍 Prüfungsvorbereitung</h5>
<p>🗓 Donnerstag, 01. Oktober 2026<br>🕠 von 17:20 bis 18:05 Uhr<br>🏫 🏫 Strickhof Lindau, Zimmer 603 oder online via <a href=""https://teams.microsoft.com/meet/353888362433281?p=meg5EvW21NZVSy7D5H"">Teams</a></p>
<p>🔗 <a href=""https://moodle.strickhof.ch/mod/scheduler/view.php?id=72344"">Anmeldung zum Stützkurs</a></p>","<p>Sie sind in der Lage ...</p>
<ol>
<li>die Eigenschaften des Lebendigen zu erläutern und diese anhand von Beispielen zu veranschaulichen.</li>
<li>die hierarchische Organisation der Biosysteme zu benennen.</li>
<li>grundlegende Fachbegriffe der Systematik zu verwenden.</li>
<li>einen Organismus den drei Domänen zuzuordnen und – falls er zur Domäne der Eukarya gehört – eine weitere Einteilung in die vier Reiche vorzunehmen.</li>
<li>die hierarchische Klassifikation (Domäne, Reich, Stamm, Klasse, Ordnung usw.) wiederzugeben.</li>
<li>die grobe Funktion der genetischen Information für die Biologie und insbesondere für die Systematik zu erklären.</li>
<li>anzugeben, welche Elemente häufig in Biomolekülen vorkommen (Makronährelemente) und welche zu den Spurenelementen (Mikronährelemente) zählen.</li>
<li>die chemischen und physikalischen Eigenschaften von Wasser zu beschreiben.</li>
</ol>",BM1-2629
1788739200,"<!--<h1>BM2-vz-2627 2026-09-07</h1>-->
<h4>1. Lektion, 🕣 11:20 bis 12:05</h4>
<ul>
<li>[fa-question-circle] Leistungsnachweis | Theorieblatt über Zellbestandteile</li>
<li>[fa-exclamation-circle] Sicherheitsregeln im Labor</li>
<li>[fa-book] Einführung ins Mikroskopieren</li>
</ul>
<h4>2. Lektion, 🕣 12:10 bis 12:55</h4>
<ul>
<li>[fa-flag-checkered] Sie haben folgende Präparate mikroskopiert
<ul>
<li>Zwiebelhaut mit Färbung</li>
<li>Mundschleimhaut mit Färbung</li>
<li>Augentierchen (Euglena)</li>
<li>Hefe</li>
</ul>
</li>
</ul>"," ","<h5>📝 Arbeitsaufträge</h5>
<ul>
<li>Bis Freitag, 11. September 2026: «Gruppenwahl | Theorieblatt über Zellbestandteile» einschreiben.</li>
<li>KW 38: «Aufgabe | Theorieblatt über Zellbestandteile (= Leistungsnachweis)».</li>
<li>KW 38: Erstellen Sie eine Word-Vorlage gemäss «Anleitung &amp; Vorgaben: Erstellung einer Vorlage für ein Textdokument».</li>
<li>Sonntag, 20. September 2026, 23:59 Uhr: Stellen Sie Ihr Theorieblatt fertig und laden Sie es auf Moodle hoch.</li>
<li>Bis Ende KW 39: Schauen Sie zum Abschluss den Erklärfilm «Übrige Zellbestandteile».</li>
</ul>","<h4>Biologieprüfung I</h4>
<p>🗓 Montag, 19. Oktober 2026<br>🕣 11:20 bis 12:05 Uhr</p>
<dl>
<dt>Grundlagen</dt>
<dd>Chemische und biologische Grundlagen</dd>
<dt>Cytologie</dt>
<dd>Aufbau und Funktion von Zellen und ihren Bestandteilen</dd>
</dl>
<h4>Stützkurs</h4>
<h5>📍 Prüfungsvorbereitung</h5>
<p>🗓 Montag, 28. September 2026<br>🕠 von 17:20 bis 18:05 Uhr<br>🏫 Zimmer 302 oder online via <a href=""https://teams.microsoft.com/meet/353888362433281?p=meg5EvW21NZVSy7D5H"">Teams</a></p>
<p>🗫 Teilnahme ist hybrid möglich über den Link.</p>
<p>🔗 <a href=""https://moodle.strickhof.ch/mod/scheduler/view.php?id=72344"">Anmeldung zum Stützkurs</a></p>","<h5>Lernziele</h5>
<p>Sie sind in der Lage ...</p>
<ol>
<li>mithilfe spezifischer Kriterien prokaryontische und eukaryontische Zellen zu unterscheiden und Gemeinsamkeiten zu benennen. den Bau von Tier- und Pflanzenzellen</li>
<li>mit sämtlichen Organellen schematisch zu skizzieren.</li>
<li>anhand von Zellbestandteilen Unterschiede und Gemeinsamkeiten festzumachen.</li>
<li>die Strukturen und die Komponenten des Endomembransystems zu beschreiben.</li>
</ol>",BM2-vz-2627
1788739200,"<!--<h1>BM2-tz-2628 2026-09-07</h1>-->
<h4>1. Lektion, 🕣 13:50 bis 14:35</h4>
<ul>
<li>[fa-question-circle] Leistungsnachweis | Theorieblatt über Zellbestandteile</li>
<li>[fa-book] Pro- und Eukaryotische Zelltypen</li>
<li>[fa-book] Überblick der Zellbestandteile</li>
<li>[fa-pencil] Arbeit am Leistungsnachweis</li>
</ul>"," ","<h5>📝 Arbeitsaufträge</h5>
<ul>
<li>Bis Freitag, 11. September 2026: «Gruppenwahl | Theorieblatt über Zellbestandteile» einschreiben.</li>
<li>KW 38: «Aufgabe | Theorieblatt über Zellbestandteile (= Leistungsnachweis)».</li>
<li>KW 38: Erstellen Sie eine Word-Vorlage gemäss «Anleitung &amp; Vorgaben: Erstellung einer Vorlage für ein Textdokument».</li>
<li>Sonntag, 20. September 2026, 23:59 Uhr: Stellen Sie Ihr Theorieblatt fertig und laden Sie es auf Moodle hoch.</li>
<li>Bis Ende KW 39: Schauen Sie zum Abschluss den Erklärfilm «Übrige Zellbestandteile».</li>
</ul>","<h4>Biologieprüfung I</h4>
<p>🗓 Montag, 19. Oktober 2026<br>🕣 13:50 bis 14:35 Uhr</p>
<dl>
<dt>Grundlagen</dt>
<dd>Chemische und biologische Grundlagen</dd>
<dt>Cytologie</dt>
<dd>Aufbau und Funktion von Zellen und ihren Bestandteilen</dd>
</dl>
<h4>Stützkurs</h4>
<h5>📍 Prüfungsvorbereitung</h5>
<p>🗓 Montag, 28. September 2026<br>🕠 von 17:20 bis 18:05 Uhr<br>🏫 Zimmer 302 oder online via <a href=""https://teams.microsoft.com/meet/353888362433281?p=meg5EvW21NZVSy7D5H"">Teams</a></p>
<p>🗫 Teilnahme ist hybrid möglich über den Link.</p>
<p>🔗 <a href=""https://moodle.strickhof.ch/mod/scheduler/view.php?id=72344"">Anmeldung zum Stützkurs</a></p>","<p>Sie sind in der Lage ...</p>
<ol>
<li>mithilfe spezifischer Kriterien prokaryontische und eukaryontische Zellen zu unterscheiden und Gemeinsamkeiten zu benennen. den Bau von Tier- und Pflanzenzellen</li>
<li>mit sämtlichen Organellen schematisch zu skizzieren.</li>
<li>anhand von Zellbestandteilen Unterschiede und Gemeinsamkeiten festzumachen.</li>
<li>die Strukturen und die Komponenten des Endomembransystems zu beschreiben.</li>
</ol>",BM2-tz-2628
